,kepid,koi_disposition
124,2438062,FALSE POSITIVE
125,2438070,FALSE POSITIVE
126,2438264,CONFIRMED
127,2438406,FALSE POSITIVE
128,2438490,FALSE POSITIVE
129,2438502,FALSE POSITIVE
130,2438513,CONFIRMED
131,2438517,FALSE POSITIVE
132,2439243,CONFIRMED
133,2440757,FALSE POSITIVE
134,2441151,FALSE POSITIVE
135,2441161,FALSE POSITIVE
136,2441495,CONFIRMED
137,2441728,FALSE POSITIVE
138,2442084,FALSE POSITIVE
139,2442359,FALSE POSITIVE
140,2442448,CONFIRMED
142,2444412,CONFIRMED
143,2445129,FALSE POSITIVE
144,2445134,FALSE POSITIVE
145,2445154,FALSE POSITIVE
146,2445975,FALSE POSITIVE
147,2446113,FALSE POSITIVE
148,2446134,FALSE POSITIVE
149,2446623,FALSE POSITIVE
150,2449053,FALSE POSITIVE
151,2449074,FALSE POSITIVE
152,2449090,FALSE POSITIVE
153,2449101,FALSE POSITIVE
156,2450716,FALSE POSITIVE
157,2452289,FALSE POSITIVE
158,2452440,FALSE POSITIVE
159,2452450,FALSE POSITIVE
160,2554853,FALSE POSITIVE
162,2556650,CONFIRMED
164,2557430,FALSE POSITIVE
165,2557816,CONFIRMED
167,2558363,FALSE POSITIVE
168,2558370,FALSE POSITIVE
169,2568971,FALSE POSITIVE
170,2569488,FALSE POSITIVE
171,2569494,FALSE POSITIVE
172,2569516,FALSE POSITIVE
174,2570432,FALSE POSITIVE
175,2570505,FALSE POSITIVE
176,2570767,FALSE POSITIVE
177,2570773,FALSE POSITIVE
178,2571075,FALSE POSITIVE
179,2571238,CONFIRMED
181,2573056,FALSE POSITIVE
182,2573108,FALSE POSITIVE
183,2574201,FALSE POSITIVE
184,2574338,CONFIRMED
185,2574543,FALSE POSITIVE
186,2576107,FALSE POSITIVE
187,2576197,FALSE POSITIVE
188,2576224,FALSE POSITIVE
189,2576692,FALSE POSITIVE
192,2578017,FALSE POSITIVE
193,2578811,FALSE POSITIVE
195,2580872,FALSE POSITIVE
196,2581191,FALSE POSITIVE
197,2581316,CONFIRMED
198,2581554,CONFIRMED
199,2582800,FALSE POSITIVE
200,2583777,FALSE POSITIVE
201,2584163,CONFIRMED
202,2692377,CONFIRMED
203,2693092,FALSE POSITIVE
204,2693736,CONFIRMED
205,2694632,FALSE POSITIVE
206,2695110,FALSE POSITIVE
208,2696703,FALSE POSITIVE
209,2697169,FALSE POSITIVE
210,2697935,FALSE POSITIVE
211,2707097,FALSE POSITIVE
212,2707916,FALSE POSITIVE
213,2707985,FALSE POSITIVE
214,2708156,FALSE POSITIVE
215,2708172,FALSE POSITIVE
216,2708203,FALSE POSITIVE
217,2708221,FALSE POSITIVE
218,2708270,FALSE POSITIVE
219,2708278,FALSE POSITIVE
220,2708286,FALSE POSITIVE
221,2708343,FALSE POSITIVE
222,2708420,FALSE POSITIVE
223,2708445,FALSE POSITIVE
224,2708614,FALSE POSITIVE
225,2708885,FALSE POSITIVE
226,2710101,FALSE POSITIVE
227,2710623,FALSE POSITIVE
228,2711114,FALSE POSITIVE
229,2711123,FALSE POSITIVE
230,2711131,FALSE POSITIVE
231,2711597,FALSE POSITIVE
232,2712825,FALSE POSITIVE
233,2713018,FALSE POSITIVE
234,2713049,CONFIRMED
235,2715135,CONFIRMED
236,2715695,CONFIRMED
237,2716801,CONFIRMED
238,2716853,CONFIRMED
240,2717158,CONFIRMED
241,2718778,CONFIRMED
242,2719873,FALSE POSITIVE
243,2720309,FALSE POSITIVE
244,2720354,FALSE POSITIVE
245,2720514,FALSE POSITIVE
246,2720828,FALSE POSITIVE
247,2721030,CONFIRMED
248,2830919,FALSE POSITIVE
249,2831055,CONFIRMED
250,2831251,FALSE POSITIVE
252,2833632,FALSE POSITIVE
255,2836076,FALSE POSITIVE
256,2837111,CONFIRMED
258,2849805,CONFIRMED
259,2850321,FALSE POSITIVE
260,2851100,FALSE POSITIVE
261,2852528,FALSE POSITIVE
262,2852560,FALSE POSITIVE
266,2853093,CONFIRMED
269,2853828,FALSE POSITIVE
270,2853889,FALSE POSITIVE
271,2854181,CONFIRMED
272,2854698,CONFIRMED
273,2854839,FALSE POSITIVE
274,2854914,CONFIRMED
275,2854948,FALSE POSITIVE
276,2856960,FALSE POSITIVE
277,2857607,CONFIRMED
278,2859299,FALSE POSITIVE
280,2860114,FALSE POSITIVE
281,2860594,FALSE POSITIVE
283,2860788,FALSE POSITIVE
284,2860793,FALSE POSITIVE
286,2861126,FALSE POSITIVE
288,2969638,FALSE POSITIVE
290,2970804,FALSE POSITIVE
291,2972800,FALSE POSITIVE
293,2973509,FALSE POSITIVE
294,2975770,CONFIRMED
298,2985767,CONFIRMED
300,2987027,CONFIRMED
301,2987433,FALSE POSITIVE
302,2989404,CONFIRMED
303,2989706,FALSE POSITIVE
304,2990873,CONFIRMED
307,2995392,CONFIRMED
308,2997178,FALSE POSITIVE
309,2997455,FALSE POSITIVE
311,2998124,FALSE POSITIVE
312,3001885,FALSE POSITIVE
315,3003019,FALSE POSITIVE
316,3003673,FALSE POSITIVE
317,3003991,FALSE POSITIVE
318,3003992,FALSE POSITIVE
319,3097346,FALSE POSITIVE
320,3097352,FALSE POSITIVE
322,3098184,FALSE POSITIVE
323,3098194,FALSE POSITIVE
324,3098197,FALSE POSITIVE
326,3098810,CONFIRMED
327,3098843,FALSE POSITIVE
330,3102000,FALSE POSITIVE
331,3102024,FALSE POSITIVE
332,3102309,FALSE POSITIVE
333,3102384,CONFIRMED
335,3103227,CONFIRMED
338,3109930,CONFIRMED
339,3109937,FALSE POSITIVE
341,3110937,FALSE POSITIVE
343,3113266,FALSE POSITIVE
344,3114167,CONFIRMED
345,3114661,FALSE POSITIVE
346,3114667,FALSE POSITIVE
347,3114811,CONFIRMED
348,3115480,FALSE POSITIVE
350,3116302,FALSE POSITIVE
351,3116412,CONFIRMED
352,3117046,FALSE POSITIVE
353,3117115,FALSE POSITIVE
354,3118797,CONFIRMED
355,3119256,FALSE POSITIVE
356,3120276,FALSE POSITIVE
357,3120308,FALSE POSITIVE
358,3120320,FALSE POSITIVE
359,3120355,CONFIRMED
360,3120397,FALSE POSITIVE
361,3120431,FALSE POSITIVE
362,3120904,CONFIRMED
363,3121340,FALSE POSITIVE
365,3122913,CONFIRMED
366,3122985,FALSE POSITIVE
367,3123418,FALSE POSITIVE
368,3124412,FALSE POSITIVE
369,3124420,FALSE POSITIVE
370,3124598,FALSE POSITIVE
371,3127817,FALSE POSITIVE
372,3127911,FALSE POSITIVE
373,3128552,CONFIRMED
374,3128793,FALSE POSITIVE
376,3130300,FALSE POSITIVE
377,3130548,FALSE POSITIVE
378,3217264,CONFIRMED
379,3218844,FALSE POSITIVE
380,3218908,CONFIRMED
383,3219995,CONFIRMED
384,3222680,FALSE POSITIVE
386,3228740,FALSE POSITIVE
387,3228804,FALSE POSITIVE
388,3228824,FALSE POSITIVE
389,3228825,FALSE POSITIVE
390,3228945,FALSE POSITIVE
391,3228959,FALSE POSITIVE
392,3228986,FALSE POSITIVE
393,3228988,FALSE POSITIVE
394,3229028,FALSE POSITIVE
396,3230095,FALSE POSITIVE
397,3230206,FALSE POSITIVE
398,3230227,FALSE POSITIVE
400,3230578,FALSE POSITIVE
401,3230753,FALSE POSITIVE
402,3230787,FALSE POSITIVE
404,3231120,FALSE POSITIVE
405,3231137,FALSE POSITIVE
406,3231341,CONFIRMED
408,3232859,FALSE POSITIVE
409,3233043,FALSE POSITIVE
410,3234598,CONFIRMED
411,3234843,CONFIRMED
412,3235282,FALSE POSITIVE
413,3235672,FALSE POSITIVE
416,3239636,FALSE POSITIVE
417,3239671,CONFIRMED
418,3239945,CONFIRMED
419,3240049,FALSE POSITIVE
420,3240158,CONFIRMED
421,3240159,FALSE POSITIVE
422,3240406,FALSE POSITIVE
423,3240706,FALSE POSITIVE
424,3241248,FALSE POSITIVE
425,3241344,FALSE POSITIVE
426,3241557,FALSE POSITIVE
427,3241604,FALSE POSITIVE
428,3241619,FALSE POSITIVE
429,3241647,FALSE POSITIVE
430,3241662,FALSE POSITIVE
432,3244792,CONFIRMED
433,3245000,FALSE POSITIVE
434,3245638,FALSE POSITIVE
435,3245661,FALSE POSITIVE
436,3245969,CONFIRMED
438,3246984,FALSE POSITIVE
439,3247268,CONFIRMED
440,3247294,FALSE POSITIVE
441,3247396,FALSE POSITIVE
442,3247404,FALSE POSITIVE
443,3247503,FALSE POSITIVE
444,3248019,FALSE POSITIVE
445,3248033,FALSE POSITIVE
446,3248332,FALSE POSITIVE
448,3248696,FALSE POSITIVE
450,3323289,FALSE POSITIVE
451,3323887,CONFIRMED
453,3324644,FALSE POSITIVE
454,3324986,FALSE POSITIVE
455,3326377,CONFIRMED
456,3327980,FALSE POSITIVE
457,3327992,FALSE POSITIVE
458,3327993,FALSE POSITIVE
459,3328026,FALSE POSITIVE
460,3328027,FALSE POSITIVE
461,3328052,FALSE POSITIVE
462,3328080,CONFIRMED
464,3329643,FALSE POSITIVE
465,3329985,FALSE POSITIVE
466,3330684,FALSE POSITIVE
467,3335813,FALSE POSITIVE
468,3335816,FALSE POSITIVE
469,3336283,FALSE POSITIVE
470,3336476,FALSE POSITIVE
471,3336765,FALSE POSITIVE
472,3336845,FALSE POSITIVE
473,3337061,FALSE POSITIVE
474,3337351,FALSE POSITIVE
475,3337425,FALSE POSITIVE
476,3337432,FALSE POSITIVE
477,3337438,FALSE POSITIVE
478,3337548,FALSE POSITIVE
479,3338660,FALSE POSITIVE
480,3338674,FALSE POSITIVE
481,3338885,CONFIRMED
482,3339538,FALSE POSITIVE
483,3340070,FALSE POSITIVE
485,3340312,FALSE POSITIVE
486,3340313,FALSE POSITIVE
487,3341760,FALSE POSITIVE
488,3341934,FALSE POSITIVE
489,3341982,FALSE POSITIVE
490,3342463,FALSE POSITIVE
491,3342467,FALSE POSITIVE
492,3342592,FALSE POSITIVE
493,3342794,CONFIRMED
494,3342952,FALSE POSITIVE
495,3342970,CONFIRMED
496,3343281,FALSE POSITIVE
497,3343866,FALSE POSITIVE
498,3344419,FALSE POSITIVE
499,3344427,FALSE POSITIVE
501,3345973,FALSE POSITIVE
502,3346154,CONFIRMED
504,3347485,FALSE POSITIVE
505,3347807,FALSE POSITIVE
506,3348082,FALSE POSITIVE
507,3348090,FALSE POSITIVE
508,3348093,FALSE POSITIVE
510,3348285,FALSE POSITIVE
511,3351888,CONFIRMED
512,3352751,FALSE POSITIVE
513,3353050,CONFIRMED
514,3353454,FALSE POSITIVE
515,3354846,CONFIRMED
521,3426367,CONFIRMED
522,3427776,FALSE POSITIVE
524,3428359,FALSE POSITIVE
525,3428468,FALSE POSITIVE
526,3433668,CONFIRMED
527,3437739,FALSE POSITIVE
528,3437776,FALSE POSITIVE
529,3438507,CONFIRMED
530,3438975,FALSE POSITIVE
531,3438976,FALSE POSITIVE
532,3439031,FALSE POSITIVE
533,3439096,FALSE POSITIVE
534,3439126,FALSE POSITIVE
535,3440118,CONFIRMED
536,3440230,FALSE POSITIVE
537,3440861,FALSE POSITIVE
539,3441340,FALSE POSITIVE
540,3441784,FALSE POSITIVE
542,3442054,FALSE POSITIVE
543,3442055,CONFIRMED
544,3443582,FALSE POSITIVE
545,3443790,FALSE POSITIVE
546,3444098,FALSE POSITIVE
547,3444588,CONFIRMED
548,3445812,FALSE POSITIVE
549,3446451,FALSE POSITIVE
550,3446746,CONFIRMED
551,3447722,CONFIRMED
552,3448130,CONFIRMED
553,3448323,FALSE POSITIVE
554,3448456,FALSE POSITIVE
555,3449540,FALSE POSITIVE
556,3449870,FALSE POSITIVE
559,3458028,CONFIRMED
560,3458687,FALSE POSITIVE
561,3458919,FALSE POSITIVE
562,3459199,FALSE POSITIVE
563,3459529,FALSE POSITIVE
564,3526331,FALSE POSITIVE
566,3530668,FALSE POSITIVE
567,3531231,FALSE POSITIVE
568,3531558,CONFIRMED
569,3532510,FALSE POSITIVE
571,3533469,FALSE POSITIVE
572,3533483,FALSE POSITIVE
574,3534118,FALSE POSITIVE
577,3541800,FALSE POSITIVE
578,3541946,CONFIRMED
579,3542117,FALSE POSITIVE
580,3542222,FALSE POSITIVE
581,3542542,FALSE POSITIVE
582,3542573,FALSE POSITIVE
583,3542574,FALSE POSITIVE
584,3542588,FALSE POSITIVE
585,3542928,FALSE POSITIVE
586,3543270,FALSE POSITIVE
587,3544595,CONFIRMED
588,3544640,CONFIRMED
589,3544678,FALSE POSITIVE
590,3544689,FALSE POSITIVE
591,3544694,FALSE POSITIVE
592,3545135,CONFIRMED
594,3545583,FALSE POSITIVE
596,3545749,FALSE POSITIVE
598,3546060,CONFIRMED
599,3546821,FALSE POSITIVE
600,3547091,FALSE POSITIVE
602,3547315,FALSE POSITIVE
603,3547760,FALSE POSITIVE
604,3548044,CONFIRMED
606,3548639,FALSE POSITIVE
609,3550434,FALSE POSITIVE
611,3554031,CONFIRMED
612,3554600,FALSE POSITIVE
613,3554819,FALSE POSITIVE
614,3555178,FALSE POSITIVE
615,3556220,FALSE POSITIVE
616,3556229,FALSE POSITIVE
617,3556742,FALSE POSITIVE
618,3557341,FALSE POSITIVE
619,3557493,FALSE POSITIVE
621,3558803,FALSE POSITIVE
623,3558981,FALSE POSITIVE
625,3559935,CONFIRMED
626,3560301,FALSE POSITIVE
627,3561464,CONFIRMED
629,3629330,CONFIRMED
630,3629967,CONFIRMED
631,3632089,CONFIRMED
632,3632330,FALSE POSITIVE
633,3632418,CONFIRMED
635,3634169,FALSE POSITIVE
636,3640905,CONFIRMED
637,3641216,FALSE POSITIVE
638,3641726,CONFIRMED
639,3642289,CONFIRMED
640,3642335,CONFIRMED
641,3642741,FALSE POSITIVE
643,3644174,FALSE POSITIVE
644,3644399,FALSE POSITIVE
645,3644505,FALSE POSITIVE
646,3644523,FALSE POSITIVE
647,3644542,FALSE POSITIVE
648,3644601,FALSE POSITIVE
649,3644602,FALSE POSITIVE
650,3644631,FALSE POSITIVE
651,3644649,FALSE POSITIVE
652,3644653,FALSE POSITIVE
653,3644738,FALSE POSITIVE
654,3645282,FALSE POSITIVE
655,3645438,CONFIRMED
657,3646515,FALSE POSITIVE
660,3650049,FALSE POSITIVE
661,3654095,FALSE POSITIVE
662,3654719,FALSE POSITIVE
663,3654950,FALSE POSITIVE
664,3655326,FALSE POSITIVE
665,3655332,FALSE POSITIVE
666,3656121,CONFIRMED
667,3656322,FALSE POSITIVE
668,3656700,FALSE POSITIVE
669,3657176,FALSE POSITIVE
670,3657758,CONFIRMED
671,3659940,FALSE POSITIVE
673,3660924,CONFIRMED
674,3661886,CONFIRMED
675,3662635,FALSE POSITIVE
676,3662838,CONFIRMED
677,3663141,FALSE POSITIVE
681,3728432,CONFIRMED
682,3728701,CONFIRMED
683,3730176,FALSE POSITIVE
684,3730335,FALSE POSITIVE
685,3732035,CONFIRMED
686,3732821,CONFIRMED
687,3732894,FALSE POSITIVE
688,3732972,FALSE POSITIVE
689,3733628,CONFIRMED
691,3734418,CONFIRMED
692,3734501,FALSE POSITIVE
693,3734868,FALSE POSITIVE
694,3735629,FALSE POSITIVE
695,3735634,FALSE POSITIVE
696,3742855,FALSE POSITIVE
697,3745559,CONFIRMED
698,3745690,CONFIRMED
699,3746248,FALSE POSITIVE
700,3747262,FALSE POSITIVE
701,3747817,CONFIRMED
704,3749134,CONFIRMED
705,3749365,CONFIRMED
706,3749508,FALSE POSITIVE
707,3749978,CONFIRMED
708,3750350,FALSE POSITIVE
710,3751231,FALSE POSITIVE
712,3755522,FALSE POSITIVE
713,3756264,CONFIRMED
715,3757407,FALSE POSITIVE
717,3757588,FALSE POSITIVE
718,3757590,FALSE POSITIVE
719,3757778,FALSE POSITIVE
722,3761319,FALSE POSITIVE
723,3762468,CONFIRMED
724,3762553,FALSE POSITIVE
726,3763724,FALSE POSITIVE
727,3764411,FALSE POSITIVE
728,3764714,FALSE POSITIVE
731,3765771,FALSE POSITIVE
733,3766353,FALSE POSITIVE
734,3830820,FALSE POSITIVE
735,3831053,CONFIRMED
736,3831523,FALSE POSITIVE
737,3831911,FALSE POSITIVE
738,3832474,CONFIRMED
739,3832716,FALSE POSITIVE
740,3833007,CONFIRMED
741,3834317,FALSE POSITIVE
742,3834322,FALSE POSITIVE
743,3834360,FALSE POSITIVE
744,3834364,FALSE POSITIVE
746,3835670,CONFIRMED
747,3836375,FALSE POSITIVE
748,3836399,FALSE POSITIVE
749,3836413,FALSE POSITIVE
750,3836439,FALSE POSITIVE
751,3836450,FALSE POSITIVE
752,3836453,FALSE POSITIVE
753,3836509,FALSE POSITIVE
754,3836522,FALSE POSITIVE
755,3836558,FALSE POSITIVE
756,3838004,FALSE POSITIVE
757,3838486,FALSE POSITIVE
758,3838496,FALSE POSITIVE
759,3839294,FALSE POSITIVE
760,3839488,CONFIRMED
761,3846515,FALSE POSITIVE
762,3847138,CONFIRMED
763,3847708,FALSE POSITIVE
764,3847907,CONFIRMED
766,3848275,CONFIRMED
767,3848665,FALSE POSITIVE
768,3848919,FALSE POSITIVE
769,3848948,FALSE POSITIVE
771,3848972,FALSE POSITIVE
772,3849155,FALSE POSITIVE
774,3851130,FALSE POSITIVE
775,3851134,FALSE POSITIVE
776,3851193,FALSE POSITIVE
777,3851194,FALSE POSITIVE
778,3851949,FALSE POSITIVE
779,3852258,FALSE POSITIVE
780,3852476,FALSE POSITIVE
781,3852655,CONFIRMED
782,3852865,FALSE POSITIVE
784,3853673,FALSE POSITIVE
785,3854101,FALSE POSITIVE
787,3857860,FALSE POSITIVE
788,3858704,FALSE POSITIVE
789,3858757,FALSE POSITIVE
790,3858767,FALSE POSITIVE
791,3858804,FALSE POSITIVE
792,3858824,FALSE POSITIVE
793,3858851,FALSE POSITIVE
794,3858879,FALSE POSITIVE
795,3858884,FALSE POSITIVE
796,3858917,FALSE POSITIVE
797,3858919,FALSE POSITIVE
798,3858926,FALSE POSITIVE
799,3858943,FALSE POSITIVE
800,3858949,FALSE POSITIVE
801,3858988,FALSE POSITIVE
802,3859042,FALSE POSITIVE
803,3859079,CONFIRMED
804,3859151,FALSE POSITIVE
805,3859363,FALSE POSITIVE
806,3859628,CONFIRMED
807,3859890,FALSE POSITIVE
808,3860441,FALSE POSITIVE
809,3861595,CONFIRMED
810,3861611,FALSE POSITIVE
811,3862246,FALSE POSITIVE
813,3865298,FALSE POSITIVE
814,3865567,FALSE POSITIVE
815,3865595,FALSE POSITIVE
817,3866536,FALSE POSITIVE
818,3867593,FALSE POSITIVE
819,3867615,CONFIRMED
821,3869014,CONFIRMED
822,3869326,FALSE POSITIVE
823,3869825,FALSE POSITIVE
825,3935914,CONFIRMED
827,3936658,FALSE POSITIVE
828,3937519,CONFIRMED
829,3937814,CONFIRMED
830,3938073,FALSE POSITIVE
831,3939150,CONFIRMED
832,3940418,CONFIRMED
833,3941219,FALSE POSITIVE
835,3942670,CONFIRMED
836,3945802,FALSE POSITIVE
837,3946023,FALSE POSITIVE
838,3952651,FALSE POSITIVE
839,3953106,FALSE POSITIVE
840,3953173,FALSE POSITIVE
841,3953212,FALSE POSITIVE
842,3954211,FALSE POSITIVE
843,3954227,FALSE POSITIVE
845,3955817,CONFIRMED
846,3955866,FALSE POSITIVE
847,3955867,FALSE POSITIVE
848,3957082,FALSE POSITIVE
849,3958301,FALSE POSITIVE
850,3962243,CONFIRMED
851,3962357,CONFIRMED
853,3962684,FALSE POSITIVE
854,3962728,FALSE POSITIVE
855,3962751,FALSE POSITIVE
856,3962872,FALSE POSITIVE
857,3964109,CONFIRMED
858,3964545,FALSE POSITIVE
859,3964562,FALSE POSITIVE
861,3965326,FALSE POSITIVE
862,3965879,FALSE POSITIVE
863,3966262,FALSE POSITIVE
864,3966801,CONFIRMED
865,3966912,FALSE POSITIVE
866,3967326,CONFIRMED
867,3967501,FALSE POSITIVE
868,3967760,CONFIRMED
870,3969687,CONFIRMED
871,3970117,FALSE POSITIVE
872,3970233,FALSE POSITIVE
873,3970397,FALSE POSITIVE
874,3971315,FALSE POSITIVE
875,3972391,FALSE POSITIVE
877,3973002,FALSE POSITIVE
878,3973504,FALSE POSITIVE
879,3973549,FALSE POSITIVE
881,4035640,CONFIRMED
882,4035667,FALSE POSITIVE
883,4035675,FALSE POSITIVE
884,4037163,FALSE POSITIVE
885,4037164,FALSE POSITIVE
886,4037428,FALSE POSITIVE
887,4042026,FALSE POSITIVE
888,4042088,FALSE POSITIVE
889,4043190,CONFIRMED
890,4043443,FALSE POSITIVE
891,4044005,FALSE POSITIVE
894,4049108,FALSE POSITIVE
895,4049124,FALSE POSITIVE
896,4049131,CONFIRMED
899,4055092,FALSE POSITIVE
900,4055304,CONFIRMED
902,4055774,FALSE POSITIVE
903,4056579,FALSE POSITIVE
904,4056616,CONFIRMED
905,4058169,FALSE POSITIVE
906,4058881,FALSE POSITIVE
907,4059887,FALSE POSITIVE
909,4060815,FALSE POSITIVE
910,4061149,CONFIRMED
912,4067110,FALSE POSITIVE
913,4067336,FALSE POSITIVE
914,4067549,FALSE POSITIVE
915,4067925,CONFIRMED
916,4068391,FALSE POSITIVE
917,4069063,FALSE POSITIVE
918,4069213,FALSE POSITIVE
919,4070376,FALSE POSITIVE
922,4072333,FALSE POSITIVE
923,4072526,CONFIRMED
926,4073089,FALSE POSITIVE
927,4073707,FALSE POSITIVE
928,4073730,FALSE POSITIVE
929,4074294,FALSE POSITIVE
931,4075015,FALSE POSITIVE
932,4075064,FALSE POSITIVE
935,4076098,CONFIRMED
936,4076952,FALSE POSITIVE
937,4076976,FALSE POSITIVE
938,4077252,FALSE POSITIVE
939,4077526,CONFIRMED
940,4077767,FALSE POSITIVE
941,4077901,FALSE POSITIVE
942,4078157,FALSE POSITIVE
943,4078311,CONFIRMED
944,4078693,FALSE POSITIVE
945,4079530,FALSE POSITIVE
946,4079535,FALSE POSITIVE
947,4135665,CONFIRMED
949,4136466,CONFIRMED
950,4136659,FALSE POSITIVE
951,4138008,CONFIRMED
952,4138557,FALSE POSITIVE
953,4138951,CONFIRMED
955,4139816,CONFIRMED
956,4140813,CONFIRMED
957,4141376,CONFIRMED
958,4141587,FALSE POSITIVE
960,4142768,FALSE POSITIVE
961,4142847,CONFIRMED
962,4143755,CONFIRMED
963,4144231,FALSE POSITIVE
964,4144236,FALSE POSITIVE
965,4144238,FALSE POSITIVE
966,4144576,CONFIRMED
967,4144873,FALSE POSITIVE
968,4147171,FALSE POSITIVE
970,4149060,FALSE POSITIVE
971,4149450,CONFIRMED
972,4149684,FALSE POSITIVE
973,4150390,FALSE POSITIVE
974,4150496,FALSE POSITIVE
975,4150539,FALSE POSITIVE
976,4150611,FALSE POSITIVE
977,4150624,FALSE POSITIVE
978,4150701,FALSE POSITIVE
979,4150703,FALSE POSITIVE
980,4150804,CONFIRMED
982,4155328,CONFIRMED
983,4157052,FALSE POSITIVE
984,4157325,CONFIRMED
985,4157488,FALSE POSITIVE
986,4159347,FALSE POSITIVE
987,4160006,FALSE POSITIVE
988,4160669,FALSE POSITIVE
989,4164393,FALSE POSITIVE
991,4164922,CONFIRMED
992,4164994,CONFIRMED
993,4165473,CONFIRMED
994,4165960,FALSE POSITIVE
995,4169315,FALSE POSITIVE
996,4171955,FALSE POSITIVE
1000,4173026,CONFIRMED
1001,4174507,FALSE POSITIVE
1002,4175105,FALSE POSITIVE
1003,4175630,CONFIRMED
1005,4178606,CONFIRMED
1006,4179201,FALSE POSITIVE
1007,4180280,CONFIRMED
1008,4180396,FALSE POSITIVE
1009,4180401,FALSE POSITIVE
1012,4242692,CONFIRMED
1013,4242806,FALSE POSITIVE
1014,4243911,CONFIRMED
1015,4245861,FALSE POSITIVE
1016,4245897,FALSE POSITIVE
1017,4245933,FALSE POSITIVE
1018,4246343,FALSE POSITIVE
1019,4247023,FALSE POSITIVE
1020,4247092,FALSE POSITIVE
1021,4247791,FALSE POSITIVE
1022,4247807,FALSE POSITIVE
1023,4247811,FALSE POSITIVE
1025,4248120,CONFIRMED
1027,4249725,CONFIRMED
1028,4252226,FALSE POSITIVE
1031,4253860,FALSE POSITIVE
1032,4254466,CONFIRMED
1033,4255422,FALSE POSITIVE
1035,4261960,FALSE POSITIVE
1037,4262581,CONFIRMED
1038,4263293,CONFIRMED
1040,4269252,FALSE POSITIVE
1041,4270253,CONFIRMED
1042,4270565,FALSE POSITIVE
1044,4271474,CONFIRMED
1047,4274816,FALSE POSITIVE
1048,4275117,FALSE POSITIVE
1049,4275191,CONFIRMED
1050,4275328,FALSE POSITIVE
1051,4275721,CONFIRMED
1052,4275739,FALSE POSITIVE
1053,4276114,FALSE POSITIVE
1054,4276445,FALSE POSITIVE
